strategy,scenario,regime,expected_basis,size,runs,valid_runs,min_operations,median_operations,mean_operations,max_operations,stdev_operations,normalized_median,normalized_max,median_disorder,median_duration_seconds
adaptive,high,high,n*log2(n),16,7,7,96,96,96.0,96,0.0,1.5,1.5,0.75,0.002026600999670336
adaptive,high,high,n*log2(n),32,7,7,240,240,240.0,240,0.0,1.5,1.5,0.75,0.002332550000573974
adaptive,high,high,n*log2(n),64,7,7,576,576,576.0,576,0.0,1.5,1.5,0.75,0.003101214999333024
adaptive,high,high,n*log2(n),128,7,7,1344,1344,1344.0,1344,0.0,1.5,1.5,0.75,0.004850359000556637
adaptive,high,high,n*log2(n),256,7,7,3072,3072,3072.0,3072,0.0,1.5,1.5,0.75,0.009344260000943905
adaptive,low,low,n^2,16,7,7,52,66,63.285714285714285,67,5.407226205560041,0.2578125,0.26171875,0.1,0.0019438179988355841
adaptive,low,low,n^2,32,7,7,108,170,161.71428571428572,201,34.39338253072474,0.166015625,0.1962890625,0.10080645161290322,0.002190477000112878
adaptive,low,low,n^2,64,7,7,341,496,509.14285714285717,620,99.71865183509816,0.12109375,0.1513671875,0.1001984126984127,0.002925469001638703
adaptive,low,low,n^2,128,7,7,937,1462,1503.857142857143,2481,484.6508807280517,0.0892333984375,0.15142822265625,0.1000246062992126,0.005001190002076328
adaptive,low,low,n^2,256,7,7,3711,4792,4856.571428571428,5749,694.9378526513137,0.0731201171875,0.0877227783203125,0.1,0.012265961999219144
adaptive,medium,medium,n*sqrt(n),16,7,7,51,59,59.857142857142854,71,7.267016155859557,0.921875,1.109375,0.35,0.00215719799962244
adaptive,medium,medium,n*sqrt(n),32,7,7,124,154,153.0,185,24.20743687382041,0.850737846115065,1.021990269683682,0.35080645161290325,0.002272043999255402
adaptive,medium,medium,n*sqrt(n),64,7,7,331,392,407.57142857142856,480,59.0758189190161,0.765625,0.9375,0.3501984126984127,0.0027516980007931124
adaptive,medium,medium,n*sqrt(n),128,7,7,976,1111,1116.142857142857,1216,76.40555950851694,0.7671832362287639,0.8396893026590251,0.3500246062992126,0.004679374997067498
adaptive,medium,medium,n*sqrt(n),256,7,7,2786,3114,3134.0,3452,235.78309241051755,0.76025390625,0.8427734375,0.35,0.010047043000668054
complex,random,random,n*log2(n),16,7,7,96,96,96.0,96,0.0,1.5,1.5,0.49166666666666664,0.0022148730022308882
complex,random,random,n*log2(n),32,7,7,240,240,240.0,240,0.0,1.5,1.5,0.49798387096774194,0.0024869970002328046
complex,random,random,n*log2(n),64,7,7,576,576,576.0,576,0.0,1.5,1.5,0.501984126984127,0.0030928919986763503
complex,random,random,n*log2(n),128,7,7,1344,1344,1344.0,1344,0.0,1.5,1.5,0.4947096456692913,0.0049378039984731
complex,random,random,n*log2(n),256,7,7,3072,3072,3072.0,3072,0.0,1.5,1.5,0.5020220588235295,0.010855204000108643
complex,reverse,high,n*log2(n),16,7,7,96,96,96.0,96,0.0,1.5,1.5,1.0,0.0022209620001376607
complex,reverse,high,n*log2(n),32,7,7,240,240,240.0,240,0.0,1.5,1.5,1.0,0.002562061999924481
complex,reverse,high,n*log2(n),64,7,7,576,576,576.0,576,0.0,1.5,1.5,1.0,0.0033131999989564065
complex,reverse,high,n*log2(n),128,7,7,1344,1344,1344.0,1344,0.0,1.5,1.5,1.0,0.0050887460020021535
complex,reverse,high,n*log2(n),256,7,7,3072,3072,3072.0,3072,0.0,1.5,1.5,1.0,0.010140035999938846
medium,random,random,n*sqrt(n),16,7,7,64,68,68.42857142857143,75,3.866830866792722,1.0625,1.171875,0.5,0.00214899599814089
medium,random,random,n*sqrt(n),32,7,7,189,200,199.28571428571428,213,8.459989868281674,1.1048543456039803,1.1766698780682392,0.5120967741935484,0.0024665620003361255
medium,random,random,n*sqrt(n),64,7,7,537,547,547.7142857142857,566,9.894683517160209,1.068359375,1.10546875,0.46577380952380953,0.0033693709992803633
medium,random,random,n*sqrt(n),128,7,7,1427,1511,1493.2857142857142,1534,40.3101074409975,1.043396822629759,1.0592791038478162,0.5028297244094488,0.005948977999651106
medium,random,random,n*sqrt(n),256,7,7,4015,4179,4158.428571428572,4273,92.92085726189634,1.020263671875,1.043212890625,0.4850796568627451,0.013379787000303622
medium,reverse,high,n*sqrt(n),16,7,7,83,83,83.0,83,0.0,1.296875,1.296875,1.0,0.002132480000000214
medium,reverse,high,n*sqrt(n),32,7,7,239,239,239.0,239,0.0,1.3203009429967567,1.3203009429967567,1.0,0.002547035001043696
medium,reverse,high,n*sqrt(n),64,7,7,583,583,583.0,583,0.0,1.138671875,1.138671875,1.0,0.0034191129998362157
medium,reverse,high,n*sqrt(n),128,7,7,1636,1636,1636.0,1636,0.0,1.12971356838007,1.12971356838007,1.0,0.006062115997337969
medium,reverse,high,n*sqrt(n),256,7,7,4367,4367,4367.0,4367,0.0,1.066162109375,1.066162109375,1.0,0.012453831001039362
simple,random,random,n^2,16,7,7,74,92,91.42857142857143,111,12.32689664726613,0.359375,0.43359375,0.5583333333333333,0.002000909000344109
simple,random,random,n^2,32,7,7,277,336,322.2857142857143,377,39.01159778712943,0.328125,0.3681640625,0.5040322580645161,0.002539601999160368
simple,random,random,n^2,64,7,7,1026,1080,1120.4285714285713,1257,94.56542205065786,0.263671875,0.306884765625,0.49206349206349204,0.004410625999298645
simple,random,random,n^2,128,7,7,4073,4366,4404.571428571428,4779,221.73547088280452,0.2664794921875,0.29168701171875,0.5056594488188977,0.011508308998600114
simple,random,random,n^2,256,7,7,15431,16519,16512.428571428572,17404,702.3351187628446,0.2520599365234375,0.26556396484375,0.490625,0.03969271700043464
simple,reverse,high,n^2,16,7,7,152,152,152.0,152,0.0,0.59375,0.59375,1.0,0.0023914819976198487
simple,reverse,high,n^2,32,7,7,560,560,560.0,560,0.0,0.546875,0.546875,1.0,0.003158826999424491
simple,reverse,high,n^2,64,7,7,2144,2144,2144.0,2144,0.0,0.5234375,0.5234375,1.0,0.006544028001371771
simple,reverse,high,n^2,128,7,7,8384,8384,8384.0,8384,0.0,0.51171875,0.51171875,1.0,0.01988489399809623
simple,reverse,high,n^2,256,7,7,33152,33152,33152.0,33152,0.0,0.505859375,0.505859375,1.0,0.07159856199723436
